order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,discount,cost,region,payment_method,order_status
ORD000028,2026-05-15,CUST01894,PROD003,Headphones,Electronics,3,3500,20.0,6300,South,UPI,Completed
ORD000029,2025-11-28,CUST01963,PROD004,Keyboard,Electronics,1,1800,5.0,1000,West,COD,Completed
ORD000030,2025-09-27,CUST01853,PROD010,Watch,Accessories,3,5500,5.0,9300,South,Credit Card,Pending
ORD000031,2025-10-01,CUST01757,PROD009,T-Shirt,Fashion,2,1200,5.0,1300,North,Debit Card,Completed
ORD000032,2025-05-18,CUST02878,PROD008,Shoes,Fashion,5,4500,20.0,13000,North,Credit Card,Completed
ORD000033,2025-02-25,CUST03290,PROD002,Smartphone,Electronics,4,28000,5.0,76000,South,COD,Completed
ORD000034,2025-12-03,CUST02046,PROD005,Office Chair,Furniture,4,8500,5.0,20800,South,Net Banking,Completed
ORD000035,2026-06-23,CUST00403,PROD005,Office Chair,Furniture,5,8500,10.0,26000,North,Net Banking,Completed
ORD000036,2025-02-08,CUST00704,PROD007,Backpack,Accessories,1,2200,5.0,1200,East,Credit Card,Completed
ORD000037,2026-06-05,CUST00818,PROD009,T-Shirt,Fashion,2,1200,5.0,1300,South,Debit Card,Completed
ORD000038,2026-05-18,CUST00209,PROD004,Keyboard,Electronics,4,1800,15.0,4000,North,UPI,Completed
ORD000039,2025-06-17,CUST00174,PROD006,Desk,Furniture,4,12000,5.0,30400,North,UPI,Completed
ORD000040,2026-01-19,CUST03100,PROD003,Headphones,Electronics,1,3500,5.0,2100,South,COD,Completed
ORD000041,2025-04-11,CUST02500,PROD003,Headphones,Electronics,2,3500,5.0,4200,South,Net Banking,Completed
ORD000042,2026-04-06,CUST02796,PROD004,Keyboard,Electronics,2,1800,20.0,2000,East,Credit Card,Completed
ORD000043,2026-03-02,CUST02509,PROD008,Shoes,Fashion,1,4500,0.0,2600,West,Net Banking,Completed
ORD000044,2025-08-04,CUST01630,PROD005,Office Chair,Furniture,4,8500,0.0,20800,West,Credit Card,Completed
ORD000045,2025-02-11,CUST01079,PROD007,Backpack,Accessories,1,2200,0.0,1200,West,UPI,Completed
ORD000046,2026-08-13,CUST01073,PROD007,Backpack,Accessories,5,2200,20.0,6000,East,Net Banking,Completed
ORD000047,2025-09-28,CUST02566,PROD004,Keyboard,Electronics,3,1800,0.0,3000,North,UPI,Completed
ORD000048,2026-06-27,CUST03414,PROD010,Watch,Accessories,4,5500,5.0,12400,West,UPI,Completed
ORD000049,2026-02-16,CUST01492,PROD001,Laptop,Electronics,3,65000,5.0,144000,West,Credit Card,Returned
ORD000050,2026-04-18,CUST02396,PROD009,T-Shirt,Fashion,5,1200,15.0,3250,West,Credit Card,Cancelled
ORD000051,2026-04-07,CUST02769,PROD001,Laptop,Electronics,2,65000,10.0,96000,South,UPI,Completed
ORD000052,2025-04-29,CUST00020,PROD004,Keyboard,Electronics,3,1800,5.0,3000,West,Credit Card,Completed
ORD000053,2025-08-09,CUST02769,PROD009,T-Shirt,Fashion,1,1200,0.0,650,South,Debit Card,Completed
ORD000054,2025-10-11,CUST00474,PROD007,Backpack,Accessories,5,2200,5.0,6000,South,UPI,Completed
ORD000055,2025-10-30,CUST01880,PROD004,Keyboard,Electronics,3,1800,15.0,3000,South,UPI,Completed
ORD000056,2025-01-27,CUST01574,PROD009,T-Shirt,Fashion,1,1200,10.0,650,South,Credit Card,Completed
ORD000057,2025-11-28,CUST02634,PROD002,Smartphone,Electronics,5,28000,15.0,95000,East,Debit Card,Completed
ORD000058,2025-04-04,CUST02174,PROD007,Backpack,Accessories,5,2200,5.0,6000,North,UPI,Completed
ORD000059,2026-03-28,CUST03112,PROD006,Desk,Furniture,1,12000,20.0,7600,North,Net Banking,Completed
ORD000060,2026-02-19,CUST03251,PROD003,Headphones,Electronics,5,3500,15.0,10500,West,COD,Returned
ORD000061,2026-07-14,CUST03113,PROD010,Watch,Accessories,4,5500,20.0,12400,East,Credit Card,Completed
ORD000062,2026-03-29,CUST00131,PROD008,Shoes,Fashion,2,4500,0.0,5200,North,COD,Completed
ORD000063,2025-08-11,CUST02284,PROD001,Laptop,Electronics,4,65000,0.0,192000,North,UPI,Completed
ORD000064,2026-08-11,CUST03364,PROD001,Laptop,Electronics,4,65000,10.0,192000,West,Credit Card,Completed
ORD000065,2025-09-07,CUST01013,PROD001,Laptop,Electronics,3,65000,10.0,144000,North,UPI,Completed
ORD000066,2025-07-17,CUST01473,PROD005,Office Chair,Furniture,4,8500,10.0,20800,East,UPI,Completed
ORD000067,2026-07-04,CUST00613,PROD005,Office Chair,Furniture,1,8500,0.0,5200,West,Credit Card,Completed
ORD000068,2025-08-13,CUST01998,PROD008,Shoes,Fashion,5,4500,0.0,13000,North,Credit Card,Completed
ORD000069,2025-02-16,CUST00325,PROD007,Backpack,Accessories,5,2200,15.0,6000,North,UPI,Completed
ORD000070,2025-10-13,CUST00653,PROD001,Laptop,Electronics,2,65000,15.0,96000,West,Credit Card,Completed
ORD000071,2026-04-28,CUST01806,PROD005,Office Chair,Furniture,3,8500,10.0,15600,East,Credit Card,Completed
ORD000072,2025-04-26,CUST03252,PROD008,Shoes,Fashion,2,4500,5.0,5200,South,Debit Card,Pending
ORD000073,2025-10-09,CUST03412,PROD009,T-Shirt,Fashion,2,1200,10.0,1300,South,UPI,Completed
ORD000074,2025-03-20,CUST02632,PROD003,Headphones,Electronics,2,3500,20.0,4200,North,COD,Completed
ORD000075,2026-02-21,CUST03433,PROD001,Laptop,Electronics,5,65000,10.0,240000,North,UPI,Completed
ORD000076,2025-10-16,CUST03225,PROD002,Smartphone,Electronics,4,28000,5.0,76000,South,Net Banking,Completed
ORD000077,2025-07-20,CUST03376,PROD004,Keyboard,Electronics,5,1800,0.0,5000,North,Net Banking,Completed
ORD000078,2025-05-18,CUST01461,PROD005,Office Chair,Furniture,4,8500,0.0,20800,South,Debit Card,Completed
ORD000079,2025-12-09,CUST01436,PROD004,Keyboard,Electronics,4,1800,15.0,4000,South,UPI,Completed
ORD000080,2026-02-11,CUST00427,PROD001,Laptop,Electronics,1,65000,20.0,48000,North,Net Banking,Completed
ORD000081,2026-07-25,CUST01914,PROD004,Keyboard,Electronics,5,1800,5.0,5000,North,Net Banking,Completed
ORD000082,2025-09-23,CUST03284,PROD003,Headphones,Electronics,4,3500,0.0,8400,South,Debit Card,Completed
ORD000083,2025-04-08,CUST00930,PROD005,Office Chair,Furniture,1,8500,0.0,5200,South,COD,Completed
ORD000084,2026-05-21,CUST01230,PROD001,Laptop,Electronics,1,65000,5.0,48000,West,Net Banking,Returned
ORD000085,2026-01-18,CUST01646,PROD008,Shoes,Fashion,4,4500,5.0,10400,South,UPI,Completed
ORD000086,2026-03-02,CUST01128,PROD005,Office Chair,Furniture,2,8500,10.0,10400,East,UPI,Completed
ORD000087,2025-03-01,CUST01272,PROD004,Keyboard,Electronics,2,1800,0.0,2000,South,UPI,Completed
ORD000088,2025-07-09,CUST00689,PROD010,Watch,Accessories,2,5500,0.0,6200,East,Credit Card,Completed
ORD000089,2026-04-12,CUST02574,PROD008,Shoes,Fashion,5,4500,15.0,13000,West,Debit Card,Completed
ORD000090,2026-05-21,CUST02261,PROD002,Smartphone,Electronics,2,28000,15.0,38000,North,Credit Card,Completed
ORD000091,2025-09-22,CUST02530,PROD002,Smartphone,Electronics,2,28000,15.0,38000,East,COD,Completed
ORD000092,2026-05-04,CUST02795,PROD001,Laptop,Electronics,2,65000,5.0,96000,West,Net Banking,Completed
ORD000093,2026-05-26,CUST02535,PROD006,Desk,Furniture,1,12000,20.0,7600,West,COD,Completed
ORD000094,2025-08-24,CUST01652,PROD004,Keyboard,Electronics,1,1800,15.0,1000,South,UPI,Completed
ORD000095,2026-06-30,CUST00267,PROD004,Keyboard,Electronics,3,1800,20.0,3000,East,Credit Card,Completed
ORD000096,2025-06-25,CUST02250,PROD006,Desk,Furniture,1,12000,10.0,7600,East,Credit Card,Completed
ORD000097,2025-05-26,CUST01602,PROD006,Desk,Furniture,4,12000,15.0,30400,South,Credit Card,Completed
ORD000098,2026-02-19,CUST01862,PROD001,Laptop,Electronics,3,65000,20.0,144000,West,Debit Card,Completed
ORD000099,2026-01-22,CUST01481,PROD002,Smartphone,Electronics,3,28000,5.0,57000,North,UPI,Completed
ORD000100,2025-03-26,CUST01814,PROD008,Shoes,Fashion,2,4500,10.0,5200,East,Credit Card,Completed
ORD000101,2026-05-21,CUST02196,PROD010,Watch,Accessories,4,5500,15.0,12400,West,Net Banking,Completed
ORD000102,2025-05-02,CUST01045,PROD009,T-Shirt,Fashion,3,1200,20.0,1950,North,UPI,Completed
ORD000103,2025-01-05,CUST02867,PROD010,Watch,Accessories,1,5500,10.0,3100,East,UPI,Completed
ORD000104,2026-04-29,CUST01282,PROD005,Office Chair,Furniture,3,8500,5.0,15600,East,UPI,Completed
ORD000105,2026-04-23,CUST02331,PROD009,T-Shirt,Fashion,1,1200,20.0,650,North,Credit Card,Completed
ORD000106,2026-04-19,CUST00232,PROD009,T-Shirt,Fashion,3,1200,0.0,1950,West,Credit Card,Completed
ORD000107,2026-02-08,CUST03065,PROD009,T-Shirt,fashion,3,1200,0.0,1950,East,UPI,Completed
ORD000108,2025-10-14,CUST00305,PROD002,Smartphone,Electronics,3,28000,0.0,57000,West,UPI,Completed
ORD000109,2026-03-05,CUST02354,PROD002,Smartphone,Electronics,2,28000,15.0,38000,North,COD,Completed
ORD000110,2025-06-18,CUST00581,PROD005,Office Chair,Furniture,3,8500,5.0,15600,South,UPI,Completed
ORD000111,2026-04-19,CUST02350,PROD006,Desk,Furniture,4,12000,10.0,30400,West,Credit Card,Completed
ORD000112,2025-12-04,CUST01560,PROD010,Watch,Accessories,5,5500,0.0,15500,North,COD,Completed
ORD000113,2025-10-06,CUST03275,PROD004,Keyboard,Electronics,5,1800,0.0,5000,North,Credit Card,Completed
ORD000114,2025-11-03,CUST02810,PROD009,T-Shirt,Fashion,1,1200,20.0,650,North,Debit Card,Completed
ORD000115,2025-12-12,CUST01908,PROD009,T-Shirt,Fashion,4,1200,10.0,2600,West,COD,Completed
ORD000116,2025-01-23,CUST00447,PROD010,Watch,Accessories,1,5500,5.0,3100,South,Credit Card,Completed
ORD000117,2025-03-26,CUST01518,PROD002,Smartphone,Electronics,3,28000,0.0,57000,West,COD,Completed
ORD000118,2025-05-30,CUST01590,PROD003,Headphones,Electronics,4,3500,20.0,8400,North,COD,Returned
ORD000119,2025-03-11,CUST02772,PROD003,Headphones,Electronics,3,3500,10.0,6300,West,UPI,Completed
ORD000120,2025-09-24,CUST02837,PROD008,Shoes,Fashion,5,4500,10.0,13000,South,Debit Card,Completed
ORD000121,2026-02-10,CUST01965,PROD007,Backpack,Accessories,5,2200,15.0,6000,North,Credit Card,Completed
ORD000122,2026-02-02,CUST00246,PROD005,Office Chair,Furniture,5,8500,10.0,26000,West,Debit Card,Completed
ORD000123,2025-10-13,CUST00848,PROD001,Laptop,Electronics,4,65000,10.0,192000,North,UPI,Completed
ORD000124,2026-06-04,CUST00398,PROD006,Desk,Furniture,4,12000,10.0,30400,North,Net Banking,Completed
ORD000125,2025-12-10,CUST03112,PROD008,Shoes,Fashion,5,4500,5.0,13000,East,Net Banking,Pending
ORD000126,2025-02-18,CUST01948,PROD005,Office Chair,Furniture,2,8500,10.0,10400,North,UPI,Pending
ORD000127,2026-04-10,CUST01620,PROD003,Headphones,Electronics,2,3500,10.0,4200,South,UPI,Completed
ORD000128,2025-12-15,CUST00291,PROD006,Desk,Furniture,2,12000,15.0,15200,West,Credit Card,Completed
ORD000129,2026-01-21,CUST01444,PROD007,Backpack,Accessories,4,2200,0.0,4800,North,UPI,Completed
ORD000130,2025-12-10,CUST02101,PROD006,Desk,Furniture,2,12000,20.0,15200,South,Credit Card,Completed
ORD000131,2025-12-03,CUST02829,PROD009,T-Shirt,Fashion,1,1200,10.0,650,North,UPI,Completed
ORD000132,2025-02-24,CUST02100,PROD004,Keyboard,Electronics,4,1800,20.0,4000,West,COD,Completed
ORD000133,2025-12-06,CUST01413,PROD007,Backpack,Accessories,4,2200,0.0,4800,South,Debit Card,Completed
ORD000134,2026-04-28,CUST00591,PROD009,T-Shirt,Fashion,3,1200,0.0,1950,East,Debit Card,Completed
ORD000135,2025-07-04,CUST00246,PROD003,Headphones,Electronics,5,3500,15.0,10500,South,UPI,Completed
ORD000136,2026-01-01,CUST01004,PROD003,Headphones,Electronics,4,3500,10.0,8400,South,UPI,Completed
ORD000137,2025-01-19,CUST02296,PROD001,Laptop,Electronics,5,65000,5.0,240000,South,Credit Card,Completed
ORD000138,2025-07-30,CUST00150,PROD004,Keyboard,Electronics,2,1800,0.0,2000,North,Debit Card,Completed
ORD000139,2025-09-23,CUST01016,PROD001,Laptop,Electronics,1,65000,10.0,48000,North,UPI,Completed
ORD000140,2026-08-20,CUST01591,PROD008,Shoes,Fashion,2,4500,0.0,5200,North,UPI,Completed
ORD000141,2025-05-11,CUST02708,PROD001,Laptop,Electronics,5,65000,0.0,240000,West,COD,Completed
ORD000142,2025-06-17,CUST01341,PROD007,Backpack,Accessories,5,2200,0.0,6000,South,Credit Card,Completed
ORD000143,2025-09-05,CUST01744,PROD006,Desk,Furniture,1,12000,0.0,7600,North,Credit Card,Completed
ORD000144,2026-08-26,CUST00461,PROD010,Watch,Accessories,5,5500,15.0,15500,West,UPI,Completed
ORD000145,2026-06-03,CUST00782,PROD004,Keyboard,Electronics,3,1800,10.0,3000,North,COD,Pending
ORD000146,2025-01-22,CUST00210,PROD004,Keyboard,Electronics,5,1800,0.0,5000,North,COD,Completed
ORD000147,2025-05-23,CUST00682,PROD003,Headphones,Electronics,4,3500,15.0,8400,South,Credit Card,Completed
ORD000148,2026-05-14,CUST00938,PROD006,Desk,Furniture,1,12000,15.0,7600,North,UPI,Completed
ORD000149,2025-02-05,CUST02348,PROD003,Headphones,Electronics,3,3500,5.0,6300,West,Credit Card,Pending
ORD000150,2026-06-04,CUST01498,PROD002,Smartphone,Electronics,1,28000,0.0,19000,West,Debit Card,Returned
ORD000151,2025-06-20,CUST03002,PROD010,Watch,Accessories,2,5500,5.0,6200,East,UPI,Completed
ORD000152,2026-07-12,CUST00421,PROD007,Backpack,Accessories,4,2200,10.0,4800,West,Credit Card,Completed
ORD000153,2025-06-28,CUST03066,PROD002,Smartphone,Electronics,4,28000,15.0,76000,West,UPI,Completed
ORD000154,2026-02-06,CUST01540,PROD007,Backpack,Accessories,4,2200,5.0,4800,East,Net Banking,Pending
ORD000155,2025-03-18,CUST02757,PROD004,Keyboard,Electronics,4,1800,10.0,4000,West,Credit Card,Completed
ORD000156,2025-12-05,CUST02729,PROD002,Smartphone,Electronics,1,28000,5.0,19000,West,Net Banking,Completed
ORD000157,2025-11-03,CUST03359,PROD005,Office Chair,Furniture,3,8500,5.0,15600,West,COD,Returned
ORD000158,2026-04-21,CUST00282,PROD008,Shoes,Fashion,3,4500,10.0,7800,North,Net Banking,Completed
ORD000159,2026-08-28,CUST02558,PROD001,Laptop,Electronics,3,65000,15.0,144000,North,COD,Completed
ORD000160,2026-02-08,CUST02231,PROD004,Keyboard,Electronics,2,1800,0.0,2000,East,Net Banking,Completed
ORD000161,2025-09-06,CUST02104,PROD010,Watch,Accessories,4,5500,10.0,12400,North,Net Banking,Returned
ORD000162,2025-09-04,CUST00770,PROD004,Keyboard,Electronics,4,1800,15.0,4000,West,UPI,Returned
ORD000163,2025-09-11,CUST00122,PROD001,Laptop,Electronics,3,65000,0.0,144000,North,UPI,Completed
ORD000164,2026-05-10,CUST01983,PROD005,Office Chair,Furniture,1,8500,10.0,5200,South,Net Banking,Completed
ORD000165,2025-07-14,CUST02546,PROD007,Backpack,Accessories,1,2200,0.0,1200,West,Credit Card,Completed
ORD000166,2025-04-12,CUST01546,PROD010,Watch,Accessories,2,5500,5.0,6200,North,Credit Card,Completed
ORD000167,2025-07-22,CUST02488,PROD007,Backpack,Accessories,3,2200,10.0,3600,South,UPI,Completed
ORD000168,2025-01-14,CUST02216,PROD001,Laptop,Electronics,5,65000,5.0,240000,East,UPI,Completed
ORD000169,2025-03-06,CUST00735,PROD009,T-Shirt,Fashion,4,1200,10.0,2600,South,Debit Card,Completed
ORD000170,2025-02-24,CUST00820,PROD008,Shoes,Fashion,3,4500,15.0,7800,South,UPI,Completed
ORD000171,2026-04-14,CUST01831,PROD007,Backpack,Accessories,2,2200,15.0,2400,North,UPI,Completed
ORD000172,2026-03-15,CUST03264,PROD009,T-Shirt,Fashion,1,1200,10.0,650,North,Net Banking,Completed
ORD000173,2026-02-27,CUST03207,PROD008,Shoes,Fashion,1,4500,15.0,2600,South,UPI,Completed
ORD000174,2025-10-08,CUST02270,PROD003,Headphones,Electronics,1,3500,15.0,2100,North,UPI,Cancelled
ORD000175,2026-03-12,CUST00566,PROD005,Office Chair,Furniture,5,8500,0.0,26000,South,Debit Card,Cancelled
ORD000176,2025-04-08,CUST03403,PROD006,Desk,Furniture,1,12000,15.0,7600,North,UPI,Completed
ORD000177,2026-07-01,CUST01874,PROD005,Office Chair,Furniture,5,8500,5.0,26000,South,Credit Card,Completed
ORD000178,2026-07-24,CUST01134,PROD007,Backpack,Accessories,3,2200,10.0,3600,West,Net Banking,Completed
ORD000179,2025-04-03,CUST00183,PROD008,Shoes,Fashion,4,4500,5.0,10400,West,COD,Completed
ORD000180,2025-10-29,CUST02853,PROD002,Smartphone,Electronics,5,28000,0.0,95000,East,Debit Card,Completed
ORD000181,2026-02-27,CUST03458,PROD006,Desk,Furniture,4,12000,15.0,30400,East,Credit Card,Completed
ORD000182,2025-10-28,CUST01718,PROD001,Laptop,Electronics,1,65000,5.0,48000,East,Debit Card,Returned
ORD000183,2025-09-28,CUST01503,PROD006,Desk,Furniture,5,12000,10.0,38000,South,UPI,Completed
ORD000184,2025-04-11,CUST02496,PROD005,Office Chair,Furniture,1,8500,0.0,5200,South,Credit Card,Completed
ORD000185,2025-08-20,CUST02059,PROD003,Headphones,Electronics,3,3500,5.0,6300,North,Debit Card,Completed
ORD000186,2025-05-25,CUST00322,PROD010,Watch,Accessories,4,5500,20.0,12400,West,Net Banking,Cancelled
ORD000187,2025-07-03,CUST01843,PROD003,Headphones,Electronics,2,3500,15.0,4200,North,UPI,Completed
ORD000188,2026-02-20,CUST02130,PROD001,Laptop,Electronics,4,65000,5.0,192000,East,UPI,Completed
ORD000189,2026-01-18,CUST02133,PROD004,Keyboard,Electronics,4,1800,10.0,4000,East,Net Banking,Completed
ORD000190,2026-01-04,CUST02484,PROD008,Shoes,Fashion,5,4500,0.0,13000,South,Credit Card,Completed
ORD000191,2025-08-08,CUST00246,PROD001,Laptop,Electronics,5,65000,10.0,240000,West,Credit Card,Completed
ORD000192,2026-08-06,CUST00547,PROD005,Office Chair,Furniture,2,8500,5.0,10400,North,Credit Card,Completed
ORD000193,2025-02-23,CUST00755,PROD005,Office Chair,Furniture,4,8500,0.0,20800,West,Debit Card,Completed
ORD000194,2025-07-27,CUST03262,PROD009,T-Shirt,Fashion,5,1200,10.0,3250,East,Debit Card,Completed
ORD000195,2025-03-13,CUST00290,PROD001,Laptop,Electronics,1,65000,10.0,48000,South,UPI,Completed
ORD000196,2025-07-25,CUST03245,PROD001,Laptop,Electronics,4,65000,0.0,192000,South,UPI,Completed
ORD000197,2026-08-07,CUST00530,PROD006,Desk,Furniture,5,12000,10.0,38000,West,Net Banking,Completed
ORD000198,2025-08-11,CUST02859,PROD002,Smartphone,electronics,1,28000,15.0,19000,West,Net Banking,Completed
ORD000199,2026-07-06,CUST01953,PROD008,Shoes,Fashion,4,4500,15.0,10400,West,Credit Card,Pending
ORD000200,2025-10-28,CUST02125,PROD003,Headphones,Electronics,1,3500,5.0,2100,North,Credit Card,Completed
ORD000201,2026-03-01,CUST00246,PROD006,Desk,Furniture,3,12000,0.0,22800,South,Debit Card,Completed
ORD000202,2025-10-05,CUST00794,PROD001,Laptop,Electronics,5,65000,10.0,240000,West,Debit Card,Completed
ORD000203,2025-06-11,CUST02322,PROD007,Backpack,Accessories,5,2200,20.0,6000,West,Credit Card,Completed
ORD000204,2026-04-09,CUST01328,PROD006,Desk,Furniture,4,12000,5.0,30400,West,Net Banking,Returned
ORD000205,2026-08-12,CUST03029,PROD001,Laptop,Electronics,4,65000,10.0,192000,North,UPI,Completed
ORD000206,2025-06-09,CUST02819,PROD003,Headphones,Electronics,2,3500,0.0,4200,South,Net Banking,Completed
ORD000207,2026-04-18,CUST00215,PROD001,Laptop,Electronics,5,65000,15.0,240000,West,UPI,Completed
ORD000208,2025-06-08,CUST00058,PROD001,Laptop,Electronics,4,65000,5.0,192000,West,UPI,Completed
ORD000209,2026-03-12,CUST03040,PROD007,Backpack,Accessories,5,2200,15.0,6000,South,Debit Card,Completed
ORD000210,2026-04-24,CUST01155,PROD005,Office Chair,Furniture,4,8500,0.0,20800,North,Net Banking,Completed
ORD000211,2025-09-30,CUST03156,PROD009,T-Shirt,Fashion,1,1200,0.0,650,West,UPI,Completed
ORD000212,2026-03-24,CUST00937,PROD003,Headphones,Electronics,3,3500,0.0,6300,West,UPI,Completed
ORD000213,2025-06-15,CUST03113,PROD008,Shoes,Fashion,4,4500,20.0,10400,East,UPI,Completed
ORD000214,2025-02-18,CUST00888,PROD007,Backpack,Accessories,4,2200,5.0,4800,East,Debit Card,Completed
ORD000215,2025-02-28,CUST01073,PROD007,Backpack,Accessories,2,2200,5.0,2400,West,Credit Card,Completed
ORD000216,2025-09-29,CUST00806,PROD009,T-Shirt,Fashion,1,1200,0.0,650,South,Credit Card,Completed
ORD000217,2026-07-02,CUST01417,PROD008,Shoes,Fashion,5,4500,10.0,13000,South,Credit Card,Completed
ORD000218,2025-03-19,CUST01886,PROD008,Shoes,Fashion,5,4500,10.0,13000,West,Debit Card,Completed
ORD000219,2025-10-04,CUST02663,PROD008,Shoes,Fashion,5,4500,15.0,13000,South,Debit Card,Returned
ORD000220,2026-03-04,CUST00228,PROD005,Office Chair,Furniture,4,8500,0.0,20800,North,COD,Completed
ORD000221,2025-05-03,CUST00946,PROD008,Shoes,Fashion,5,4500,15.0,13000,North,UPI,Completed
ORD000222,2026-03-15,CUST00592,PROD009,T-Shirt,Fashion,3,1200,15.0,1950,West,Debit Card,Cancelled
ORD000223,2025-07-05,CUST00373,PROD008,Shoes,Fashion,4,4500,5.0,10400,East,UPI,Completed
ORD000224,2026-05-06,CUST01419,PROD007,Backpack,Accessories,3,2200,10.0,3600,West,UPI,Completed
ORD000225,2025-12-18,CUST00353,PROD001,Laptop,Electronics,4,65000,10.0,192000,South,UPI,Returned
ORD000226,2025-11-28,CUST02553,PROD005,Office Chair,Furniture,1,8500,0.0,5200,North,UPI,Completed
ORD000227,2025-04-18,CUST01990,PROD001,Laptop,Electronics,2,65000,15.0,96000,East,UPI,Completed
ORD000228,2025-10-09,CUST03114,PROD002,Smartphone,Electronics,2,28000,20.0,38000,East,UPI,Completed
ORD000229,2026-06-04,CUST00742,PROD004,Keyboard,Electronics,3,1800,0.0,3000,North,Credit Card,Completed
ORD000230,2025-01-12,CUST00769,PROD005,Office Chair,Furniture,5,8500,15.0,26000,South,Credit Card,Completed
ORD000231,2026-04-06,CUST00407,PROD006,Desk,Furniture,1,12000,0.0,7600,North,UPI,Completed
ORD000232,2025-10-27,CUST01163,PROD010,Watch,Accessories,4,5500,0.0,12400,South,Credit Card,Completed
ORD000233,2026-03-13,CUST01381,PROD008,Shoes,Fashion,5,4500,5.0,13000,South,COD,Completed
ORD000234,2026-02-07,CUST03064,PROD005,Office Chair,Furniture,4,8500,0.0,20800,South,UPI,Cancelled
ORD000235,2025-09-20,CUST02886,PROD004,Keyboard,Electronics,4,1800,5.0,4000,East,UPI,Completed
ORD000236,2025-07-07,CUST03169,PROD008,Shoes,Fashion,1,4500,0.0,2600,South,Credit Card,Pending
ORD000237,2026-01-16,CUST02664,PROD003,Headphones,Electronics,4,3500,20.0,8400,North,Credit Card,Completed
ORD000238,2025-03-27,CUST02950,PROD009,T-Shirt,Fashion,2,1200,15.0,1300,West,Debit Card,Completed
ORD000239,2025-12-21,CUST03221,PROD008,Shoes,Fashion,2,4500,5.0,5200,East,Debit Card,Completed
ORD000240,2025-02-27,CUST03483,PROD007,Backpack,Accessories,5,2200,5.0,6000,West,UPI,Completed
ORD000241,2026-01-30,CUST01707,PROD003,Headphones,Electronics,4,3500,10.0,8400,South,Credit Card,Completed
ORD000242,2026-01-17,CUST02938,PROD007,Backpack,Accessories,5,2200,15.0,6000,West,Net Banking,Completed
